session_id,username_sample,num_attempts,total_time,success_rate,distince_usernames,rule_prediction,rule_reason,avg_keystroke_delay,std_keystroke_delay,true_label
00ac4eb9-5868-43f7-a07f-ddf65ca10dc6,normal_user_128,4,22.0,0.25,4,1,high_typing_variance,0.4358,0.6034,1
0110d034-2664-47ec-bf29-cbe6033726cb,normal_user_133,1,0.0,1.0,1,1,high_typing_variance,0.5087,0.7977,0
01c8336b-3344-4bb7-9965-abaf4a848b97,normal_user_59,1,0.0,1.0,1,0,normal,0.2784,0.3339,0
01d883ba-c352-4570-98e3-7852f274f341,normal_user_175,1,0.0,1.0,1,0,normal,0.1533,0.1867,0
01d8d963-e262-4bba-9d65-c04ad81f4ee5,normal_user_229,1,0.0,1.0,1,1,high_typing_variance,0.3885,0.4887,0
01dd37f6-084a-49f5-bb39-7dc2683b0a0a,normal_user_231,1,0.0,1.0,1,1,high_typing_variance,0.3675,0.4523,0
02333d39-caa5-460d-aeb4-8f50294640fd,normal_user_180,1,0.0,1.0,1,0,normal,0.2321,0.2586,0
03821872-f119-4015-8ba9-ea1373e26d77,normal_user_210,2,4.0,0.5,1,1,high_typing_variance,0.5332,0.7929,0
03f0967f-dec1-4b07-a7e8-ba3a29f83dcf,normal_user_66,1,0.0,1.0,1,0,normal,0.1353,0.1512,0
04123f37-d926-418a-b893-b722366b959b,normal_user_183,35,12.0,0.0,35,1,evasive_pattern,0.1947,0.2181,1
0413db39-486f-4546-8539-5251a108b7dd,normal_user_249,1,0.0,1.0,1,0,normal,0.2266,0.2621,0
046a2a21-fec7-457f-9b1f-69a85e1ddb4a,normal_user_223,1,0.0,1.0,1,0,normal,0.2065,0.2857,0
052cf889-9f3e-4cfa-b564-0c3caef5c68c,normal_user_220,1,0.0,1.0,1,1,high_typing_variance,0.4457,0.5743,0
074bb2d9-3489-424f-9cbe-974295197922,normal_user_163,19,8.0,0.05,18,1,evasive_pattern,0.3106,0.3606,1
07b6f1d5-850f-4b4b-94bf-f10d7251f005,normal_user_238,1,0.0,1.0,1,1,unrealistic_typing_speed,0.0038,0.0045,0
08083cbf-9bc1-425a-8b47-47a61f63227d,normal_user_195,1,0.0,1.0,1,1,high_typing_variance,0.3853,0.4989,0
0984f97d-8fe8-4e38-a1d0-2c10e8205cab,normal_user_157,3,9.0,0.33,1,0,normal,0.2264,0.2887,0
09bb314a-a243-425d-9233-2ec70f53b90f,normal_user_151,1,0.0,1.0,1,0,normal,0.1129,0.1247,0
0ae00f68-6a7a-413a-99a8-858f79e5ded3,normal_user_138,1,0.0,1.0,1,0,normal,0.186,0.2099,0
0b2ed43f-264f-4aa9-b0e1-ac1269ce5bb8,normal_user_197,10,4.0,0.0,10,1,high_typing_variance,0.4973,0.7749,1
0b9faf12-eca8-4557-adde-aa2eee8c42c1,normal_user_128,3,8.0,0.0,1,1,high_typing_variance,0.4605,0.6091,0
0c37f454-6d7c-4aa6-83d7-79442b6ca532,normal_user_154,1,0.0,1.0,1,1,unrealistic_typing_speed,0.0049,0.0056,0
0d7a9f90-a814-4378-bb79-e7583ac43b72,normal_user_140,1,0.0,1.0,1,0,normal,0.3443,0.4219,0
10402f9c-4979-4092-a74a-745af7b86e09,normal_user_218,8,62.0,0.0,8,1,high_typing_variance,0.772,1.1081,1
12676b37-7e69-47be-b267-0225700b2921,normal_user_244,4,25.0,0.25,4,0,normal,0.2139,0.2376,1
12864b5c-70ac-4304-b9d6-15a294c3f9eb,normal_user_126,2,4.0,0.5,1,0,normal,0.1453,0.1702,0
12c6be96-ab6d-4b92-816b-892327a3099f,normal_user_104,1,0.0,1.0,1,0,normal,0.2009,0.2305,0
136d90f5-d7e5-42d1-9283-b79b28af6f79,normal_user_175,1,0.0,1.0,1,1,high_typing_variance,0.6192,0.8967,1
1391c5b8-2418-47e9-b272-c05f10d72381,normal_user_54,2,4.0,0.5,1,0,normal,0.1561,0.1875,0
1440ad79-fedf-461e-828b-a01b976d91da,normal_user_31,1,0.0,1.0,1,0,normal,0.1584,0.1928,0
145278ed-bd0f-4286-985e-229168ed3fe7,normal_user_2,3,8.0,0.33,1,0,normal,0.196,0.2227,0
14aa3032-3325-43de-af63-a3e2a86e321f,normal_user_125,2,4.0,0.5,1,0,normal,0.1907,0.2099,0
15b32577-be49-4623-a843-cde0c91455a3,normal_user_150,2,3.0,0.5,1,1,high_typing_variance,0.356,0.512,0
16882239-fee6-43cb-b39f-85c22db69d4a,normal_user_37,1,0.0,1.0,1,0,normal,0.1817,0.2303,0
16e1631f-b703-4bde-8d6a-ccdde1cdeb21,normal_user_141,10,4.0,0.0,10,1,evasive_pattern,0.3514,0.3965,1
173d6a5d-49f2-487e-bb00-70fbcf8d1f2c,normal_user_144,1,0.0,1.0,1,1,high_typing_variance,0.3464,0.4872,0
18381432-a4a5-4371-8a27-a8c2bd314690,normal_user_120,1,0.0,1.0,1,0,normal,0.3531,0.4456,0
18428e37-0cc1-4f41-842f-22e6793ec8a5,normal_user_181,6,49.0,0.0,6,1,evasive_pattern,0.3032,0.3541,1
185906a2-84dc-4416-8a61-9a3cd107fa7d,normal_user_224,3,9.0,0.33,1,1,high_typing_variance,0.4686,0.6248,0
192517e7-1b70-4953-b277-e8d638927b71,normal_user_77,40,21.0,0.0,36,1,evasive_pattern,0.2265,0.263,1
1a07eb77-68e5-44d6-b241-17ffbce162c7,normal_user_127,11,91.0,0.0,11,1,evasive_pattern,0.1452,0.1552,1
1a8b39c3-1c83-4cfa-91ed-38c0e24d25ec,normal_user_51,47,20.0,0.0,42,1,high_typing_variance,0.3735,0.4624,1
1b32d03a-7ffd-4682-a13c-8ccc0f84785a,normal_user_24,1,0.0,1.0,1,1,high_typing_variance,0.4466,0.6067,0
1ba1952b-0774-48b9-848c-2c19d3d72561,normal_user_190,1,0.0,1.0,1,0,normal,0.2913,0.3759,0
